2021-06-21 14:26:37,404 [32mINFO 设备类型列表如下：[0m
2021-06-21 14:26:37,404 [32mINFO 拓斯达T—FFU[0m
2021-06-21 14:26:37,404 [32mINFO 安科瑞电表96AL[0m
2021-06-21 14:26:37,404 [32mINFO 共： 2 个[0m
2021-06-21 14:26:37,544 [32mINFO 共： 0 个[0m
2021-06-21 14:26:37,591 [33mWARNING {'code': 403, 'msg': '添加失败,已存在相同的数据字典！', 'data': {'id': None, 'configCode': None, 'deviceModelID': 240, 'dataVersion': None, 'dataName': '工作状态', 'englishName': 'YWorkMode', 'createTime': None, 'dictionaryNote': '', 'updateTime': None, 'updateUserName': None, 'updateUserID': None, 'isDeleted': None, 'dataUnit': '', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:37,622 [33mWARNING {'code': 403, 'msg': '添加失败,已存在相同的数据字典！', 'data': {'id': None, 'configCode': None, 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机数量', 'englishName': 'YMumbleFans', 'createTime': None, 'dictionaryNote': '', 'updateTime': None, 'updateUserName': None, 'updateUserID': None, 'isDeleted': None, 'dataUnit': '', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:38,636 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1659, 'configCode': '566838653815136256', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机018设定风速', 'englishName': 'Y018WindSet', 'createTime': 1624256476648, 'dictionaryNote': '', 'updateTime': 1624256476648, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:38,667 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1660, 'configCode': '566838653961936896', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机019设定风速', 'englishName': 'Y019WindSet', 'createTime': 1624256476683, 'dictionaryNote': '', 'updateTime': 1624256476683, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:38,699 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1661, 'configCode': '566838654100348928', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机020设定风速', 'englishName': 'Y020WindSet', 'createTime': 1624256476716, 'dictionaryNote': '', 'updateTime': 1624256476716, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:38,745 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1662, 'configCode': '566838654272315392', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机021设定风速', 'englishName': 'Y021WindSet', 'createTime': 1624256476757, 'dictionaryNote': '', 'updateTime': 1624256476757, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:38,792 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1663, 'configCode': '566838654444281856', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机022设定风速', 'englishName': 'Y022WindSet', 'createTime': 1624256476798, 'dictionaryNote': '', 'updateTime': 1624256476798, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:38,839 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1664, 'configCode': '566838654633025536', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机023设定风速', 'englishName': 'Y023WindSet', 'createTime': 1624256476843, 'dictionaryNote': '', 'updateTime': 1624256476843, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:38,886 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1665, 'configCode': '566838654813380608', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机024设定风速', 'englishName': 'Y024WindSet', 'createTime': 1624256476886, 'dictionaryNote': '', 'updateTime': 1624256476886, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:38,917 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1666, 'configCode': '566838654989541376', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机025设定风速', 'englishName': 'Y025WindSet', 'createTime': 1624256476928, 'dictionaryNote': '', 'updateTime': 1624256476928, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:38,964 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1667, 'configCode': '566838655157313536', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机026设定风速', 'englishName': 'Y026WindSet', 'createTime': 1624256476968, 'dictionaryNote': '', 'updateTime': 1624256476968, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:38,995 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1668, 'configCode': '566838655312502784', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机027设定风速', 'englishName': 'Y027WindSet', 'createTime': 1624256477005, 'dictionaryNote': '', 'updateTime': 1624256477005, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:39,026 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1669, 'configCode': '566838655463497728', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机028设定风速', 'englishName': 'Y028WindSet', 'createTime': 1624256477041, 'dictionaryNote': '', 'updateTime': 1624256477041, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
2021-06-21 14:26:39,073 [32mINFO {'code': 200, 'msg': '添加成功', 'data': {'id': 1670, 'configCode': '566838655635464192', 'deviceModelID': 240, 'dataVersion': None, 'dataName': '风机029设定风速', 'englishName': 'Y029WindSet', 'createTime': 1624256477082, 'dictionaryNote': '', 'updateTime': 1624256477082, 'updateUserName': '来自EGS77星系英俊潇洒十全十美大帅哥', 'updateUserID': 163, 'isDeleted': 0, 'dataUnit': 'r/min', 'dataType': 3, 'modelName': None, 'privilegeLevel': None, 'parentID': 0, 'level': 1, 'isShowed': 0}}[0m
